ply_no,start,end,length_m,no_of_ply,item_number,item_description,packing_list
93,28.4,48.5,20.1,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
94,45,65.433,20.433,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
7841,30.8,42.6,11.8,1-DW,100007,UNIAXIAL 661 80CM(1),LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
7840,36.6,40.4,3.8,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
7842,36.8,40.2,3.4,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
7844,52.1,53.2,1.1,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
88,48.3,65.433,17.133,1-DW,092507,TRIAXIAL 440 (±45°/0°) 30CM(2),LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
98,4.3,17.8,13.5,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
99,4.7,17.5,12.8,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
100,5.1,17.2,12.1,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
101,5.5,16.8,11.3,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
123,47.4,65.433,18.033,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
5479,38.5,62.9,24.4,1-DW,98207,UNIAXIAL 1322 40CM (3),LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
5480,38.9,60.7,21.8,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
5481,38.3,60.1,21.8,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
5482,38.1,58.7,20.6,1-DW,,,LM65.4 2P - REINFORCEMENT PACKING LIST - DW BEFORE
